number,lot,href,start_price
Торги № 960000243040,( лот 1 ),https://tbankrot.ru/item?id=5405537,484722985.92
Торги № 721670,( лот 1 ),https://tbankrot.ru/item?id=5405510,411333000.0
Торги № 960000243035,( лот 1 ),https://tbankrot.ru/item?id=5405087,258267560.55
Торги № 2789-ОАОФ,( лот 1266 ),https://tbankrot.ru/item?id=5404935,24540260.27
Торги № 2789-ОАОФ,( лот 1247 ),https://tbankrot.ru/item?id=5404916,20002414.1
Торги № 2789-ОАОФ,( лот 1242 ),https://tbankrot.ru/item?id=5404911,193967206.36
Торги № ОАОФЦП-95123,( лот 1 ),https://tbankrot.ru/item?id=5404545,23184295.07
Торги № 116711-МЭТС,( лот 1 ),https://tbankrot.ru/item?id=5404300,151583197.65
Торги № 116689-МЭТС,( лот 1 ),https://tbankrot.ru/item?id=5403797,71845000.0
Торги № 116689-МЭТС,( лот 2 ),https://tbankrot.ru/item?id=5403796,21811421.68
Торги № 116690-МЭТС,( лот 1 ),https://tbankrot.ru/item?id=5403794,12768516.16
Торги № 116690-МЭТС,( лот 3 ),https://tbankrot.ru/item?id=5403792,20335762.57
Торги № 116690-МЭТС,( лот 4 ),https://tbankrot.ru/item?id=5403791,73992353.64
Торги № 100000813,( лот 1 ),https://tbankrot.ru/item?id=5403042,30313903.56
Торги № 960000242998,( лот 1 ),https://tbankrot.ru/item?id=5402899,170116941.42
Торги № 100000822,( лот 1 ),https://tbankrot.ru/item?id=5402766,135651123.31
Торги № ПП-7318,( лот 1 ),https://tbankrot.ru/item?id=5402763,1084631347.6
Торги № 960000243004,( лот 1 ),https://tbankrot.ru/item?id=5402761,115824150.0
Торги № 007112,( лот 1 ),https://tbankrot.ru/item?id=5402680,15996600.0
Торги № 11019-ОТПП,( лот 1 ),https://tbankrot.ru/item?id=5402521,13662653.01
Торги № 100000817,( лот 1 ),https://tbankrot.ru/item?id=5402510,109979820.0
Торги № 100000820,( лот 1 ),https://tbankrot.ru/item?id=5402508,168621390.0
Торги № 171451,( лот 1 ),https://tbankrot.ru/item?id=5402333,45000000.0
Торги № 960000242970,( лот 1 ),https://tbankrot.ru/item?id=5402297,503887249.88
Торги № ПП-58782,( лот 1 ),https://tbankrot.ru/item?id=5402194,32796958.71
Торги № ОАОФЦП-9890,( лот 12 ),https://tbankrot.ru/item?id=5402048,13056410.74
Торги № 960000242949,( лот 1 ),https://tbankrot.ru/item?id=5401680,127360000.0
Торги № 960000242951,( лот 1 ),https://tbankrot.ru/item?id=5401671,1135967728.65
Торги № 960000242952,( лот 3 ),https://tbankrot.ru/item?id=5401670,31680000.0
Торги № 960000242952,( лот 4 ),https://tbankrot.ru/item?id=5401669,30456000.0
Торги № 960000242952,( лот 2 ),https://tbankrot.ru/item?id=5401668,71064000.0
Торги № 960000242952,( лот 6 ),https://tbankrot.ru/item?id=5401666,47376000.0
Торги № 960000242952,( лот 8 ),https://tbankrot.ru/item?id=5401665,23688000.0
Торги № 960000242952,( лот 7 ),https://tbankrot.ru/item?id=5401660,50760000.0
Торги № 960000242952,( лот 12 ),https://tbankrot.ru/item?id=5401659,64296000.0
Торги № 960000242952,( лот 9 ),https://tbankrot.ru/item?id=5401654,59220000.0
Торги № 960000242952,( лот 5 ),https://tbankrot.ru/item?id=5401653,30240000.0
Торги № 960000242953,( лот 2 ),https://tbankrot.ru/item?id=5401644,21026830.19
Торги № 960000242946,( лот 6 ),https://tbankrot.ru/item?id=5401306,25489801.1
Торги № 960000242946,( лот 1 ),https://tbankrot.ru/item?id=5401305,14881124.33
Торги № 960000242946,( лот 2 ),https://tbankrot.ru/item?id=5401298,193738671.46
Торги № 960000242948,( лот 7 ),https://tbankrot.ru/item?id=5401274,31294015.79
